Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
"2,600,000 SAR",Villa,6,7+,312 sqm,"Al Amwaj, Jeddah, Makkah Al Mukarramah"
"630,000 SAR",Apartment,5,3,152 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"530,000 SAR",Apartment,4,3,135 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"650,000 SAR",Apartment,4,3,111 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"1,850,000 SAR",Villa,5,5,292 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"450,000 SAR",Apartment,5,3,550 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"299,000 SAR",Apartment,2,2,616 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"4,200,000 SAR",Villa,6,6,371 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,101,000 SAR",Apartment,4,4,146 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"3,650,000 SAR",Villa,6,6,324 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,550,000 SAR",Full Floor,4,6,206 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,257,000 SAR",Apartment,3,3,128 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,950,000 SAR",Full Floor,5,4,204 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"978,000 SAR",Apartment,3,3,118 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"2,000,000 SAR",Full Floor,5,5,264 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,380,000 SAR",Apartment,3,3,128 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"320,000 SAR",Apartment,3,2,659 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"1,600,000 SAR",Full Floor,3,3,223 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,500,000 SAR",Full Floor,4,3,225 sqm,"Al Yarmuk, Riyadh, Ar Riyadh"
"2,100,000 SAR",Full Floor,3,3,343 sqm,"Al Yarmuk, Riyadh, Ar Riyadh"
"1,950,000 SAR",Full Floor,5,3,187 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"1,750,000 SAR",Full Floor,5,4,192 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,900,000 SAR",Villa,5,6,315 sqm,"Al Maizialah, Riyadh, Ar Riyadh"
